Id,SalePrice
1250,95597.61
1251,225762.34
1252,229478.23
1253,90301.08
1254,254606.05
1255,183667.95
1256,127845.93
1257,274357.25
1258,58617.617
1259,179563.47
1260,142999.44
1261,172354.84
1262,92288
1263,133125.58
1264,116074.484
1265,180944.2
1266,187242.73
1267,40288.453
1268,211493.02
1269,300752.53
1270,113353.805
1271,179822.92
1272,151992.38
1273,140583.67
1274,146094.33
1275,150807.06
1276,39950.168
1277,145357.94
1278,177054.25
1279,207285.03
1280,55515.406
1281,176248.5
1282,212508.45
1283,142269.73
1284,48355.586
1285,147828.19
1286,98307.84
1287,173347.12
1288,171620.48
1289,193593.45
1290,280892.72
1291,125974.74
1292,122524.984
1293,38375.938
1294,198897.83
1295,129920.11
1296,143531
1297,131906.25
1298,163109.84
1299,533631.9
1300,132011.27
1301,199529.5
1302,127988.22
1303,260647.05
1304,248426.27
1305,182574.08
1306,265634.78
1307,217691.44
1308,108391.91
1309,117854.84
1310,164943.48
1311,190106.3
1312,201094.38
1313,275268.6
1314,254078.84
1315,108410.06
1316,188169.64
1317,256010.44
1318,181548.44
1319,263551.47
1320,89255.3
1321,187182.23
1322,72034.3
1323,172289.11
1324,60728.49
1325,269001.53
1326,63528.4
1327,75997.875
1328,130245.32
1329,120869.9
1330,215865.05
1331,240605.23
1332,132955.11
1333,100985.16
1334,129888.086
1335,100193.52
1336,163901.19
1337,39853.91
1338,71219.516
1339,201491
1340,108487.875
1341,113555.56
1342,137792.92
1343,248928.16
1344,130920.99
1345,198474.17
1346,81890.56
1347,214188.2
1348,260282.9
1349,230112.14
1350,93236.04
1351,99719.55
1352,143262.53
1353,121078.69
1354,282478.6
1355,206869.88
1356,197481.88
1357,92411.57
1358,139602.78
1359,143530.86
1360,288013.47
1361,151183.11
1362,192607.5
1363,130734.81
1364,185497.95
1365,173412.81
1366,153984.02
1367,178786.77
1368,132367.02
1369,137573.94
1370,199685.92
1371,53103.332
1372,150184.31
1373,219916.53
1374,395045.8
1375,213087.11
1376,224047.4
1377,66473.92
1378,122693.65
1379,128505.945
1380,153312.28
1381,48749.676
1382,197087.17
1383,128488.2
1384,153576.19
1385,71714.53
1386,71483.36
1387,247528.27
1388,149988.67
1389,261378.06
1390,114378.734
1391,225762.88
1392,41844.207
1393,113929.97
1394,41213.133
1395,229498.03
1396,259494.52
1397,157477.58
1398,115701.586
1399,113828.31
1400,147420.03
1401,103492.52
1402,181498.95
1403,222706.36
1404,232304.56
1405,99166.91
1406,208666.89
1407,95814.03
1408,97033.61
1409,77423.74
1410,200017.06
1411,171342.36
1412,124130.79
1413,41011.4
1414,241910.22
1415,154591.95
1416,194397.36
1417,39235
1418,265235.38
1419,127557.94
1420,199488.5
1421,182263.16
1422,132412.11
1423,138547.55
1424,175954.36
1425,170102.66
1426,112854.52
1427,227682.77
1428,124738.125
1429,123718.14
1430,176177
1431,202345.48
1432,113878.664
1433,109577.62
1434,207556.28
1435,187412.52
1436,179381.97
1437,107919.97
1438,245159.06
1439,106626.54
1440,166852.69
1441,140638.6
1442,162870.53
1443,243628.78
1444,89710.555
1445,194073.4
1446,93112.41
1447,110142.01
1448,218877.06
1449,119191.836
1450,98358.71
1451,43146.082
1452,207569.06
1453,135563.28
1454,127999.2
1455,148961.33
1456,194100.23
1457,239290.38
1458,124196.34
1459,123144.39
1460,141131.52
